UF,ANO,DOUTORADO_PLENO,MESTRADO
PR,1995,95,404
PR,1996,108,430
PR,1997,124,489
PR,1998,121,482
PR,1999,129,511
PR,2000,184,554
PR,2001,235,642
PR,2002,265,754
PR,2003,682,889
PR,2004,563,920
PR,2005,551,963
PR,2006,621,1155
PR,2007,584,1200
PR,2008,729,1666
PR,2009,931,2031
PR,2010,1267,2846
PR,2011,1604,3504
PR,2012,1739,3579
PR,2013,2080,3758
PR,2014,2851,4095
PR,2015,3093,4291
PR,2016,3251,4234
PR,2017,3407,4233
PR,2018,3383,4067
PR,2019,3379,3840
PR,2020,3431,3609
RS,1995,365,1092
RS,1996,451,1157
RS,1997,565,1293
RS,1998,581,1245
RS,1999,624,1241
RS,2000,732,1292
RS,2001,756,1338
RS,2002,817,1588
RS,2003,1055,1947
RS,2004,1055,2037
RS,2005,1063,2021
RS,2006,1187,2084
RS,2007,1233,2141
RS,2008,1549,2744
RS,2009,1813,2881
RS,2010,2263,3435
RS,2011,2709,3980
RS,2012,3127,4269
RS,2013,3978,4996
RS,2014,4684,5544
RS,2015,4997,5549
RS,2016,5106,5087
RS,2017,5109,4670
RS,2018,5141,4721
RS,2019,5112,4612
RS,2020,5422,4658
SC,1995,228,562
SC,1996,249,612
SC,1997,335,702
SC,1998,375,687
SC,1999,371,629
SC,2000,416,509
SC,2001,419,531
SC,2002,351,514
SC,2003,212,582
SC,2004,227,640
SC,2005,238,643
SC,2006,307,845
SC,2007,283,752
SC,2008,390,997
SC,2009,542,1135
SC,2010,748,1312
SC,2011,872,1704
SC,2012,1080,1808
SC,2013,1394,1918
SC,2014,1800,1941
SC,2015,1856,1977
SC,2016,1848,2028
SC,2017,1885,2011
SC,2018,1946,2100
SC,2019,1925,1969
SC,2020,1993,1915